,noun,cnt
1318,특징,59
987,고객,59
838,다이빙,59
3662,쇼핑,59
362,노력,59
1394,해안가,59
1708,몇번,58
1424,팜파스,58
883,단위,58
226,번호,58
319,예산,58
1907,풍차,58
3299,산굼부리,58
4523,건가,58
1519,중심,58
1524,특별자치도,58
2273,조합,58
1796,고급,58
1964,고고,58
304,현장,58
2048,바깥,58
1848,가요,58
2414,자연휴양림,57
4159,둘이서,57
2875,볶음밥,57
3903,여객,57
2467,레시,57
891,대비,57
3873,전통,57
703,날짜,57
3514,안개,57
733,유아,57
4871,대로,57
694,초등학교,57
1216,요기,56
2749,완성,56
1948,돌이,56
1874,신고,56
24,분도,56
6010,자료,56
4025,항공,56
406,합리,56
4621,햄버거,56
3223,작가,56
2085,스트레스,56
2145,하루하루,56
954,방학,56
159,입도,56
1230,공사,56
155,전기차,56
5131,당황,56
1710,알바,56
3392,드릴,55
5355,어플,55
1028,생기,55
9266,기차,55
1793,수준,55
1352,단독주택,55
3678,취소,55
720,나니,55
4148,스노,55
5236,버킷리스트,55
5211,치유,55
1918,우리나라,55
2319,영어,55
3570,로비,55
2406,까페,54
360,식비,54
659,단체,54
2039,기전,54
4339,무시,54
1046,구간,54
1508,전국,54
1341,이해,54
1815,유리,54
4498,메밀,54
2637,찰떡,54
4322,멀미,54
1193,인형,54
4606,채소,54
697,려고,54
951,마냥,54
959,비롯,54
564,유명,54
438,화이트,54
2469,차도,54
3590,취사,54
1418,자랑,54
4525,삼각대,54
1268,일요일,54
528,주상절리,53
3964,복도,53
2499,축제,53
4000,에너지,53
1337,역사,53
1499,인정,53
700,시절,53
630,배려,53
592,렌터카,53
4036,아일랜드,53
4149,쿨링,53
1096,깜짝,53
2746,기계,53
1261,저녁식사,53
3012,누군가,53
4345,방송,53
3604,독립,53
4864,웨이팅,53
1006,한식,53
861,보일러,53
2309,매콤,53
840,가운데,53
2798,싱크대,53
5209,자유,53
1853,에메랄드,52
691,약속,52
2454,애기,52
1953,다락방,52
5488,텐트,52
5311,마찬가지,52
1951,인덕션,52
424,잔디밭,52
4107,절물,52
1581,휴게소,52
4201,주차공간,52
1153,제주도숙소,52
716,이하,52
1080,고해,52
4616,짜장면,52
1911,성공,52
2031,금지,52
1481,메뉴판,52
1423,불구,52
4604,김치찌개,52
303,마다,52
3253,벽면,52
1605,북적,52
571,절약,51
4801,전문점,51
5474,바이크,51
1896,애월읍,51
4852,국밥,51
