"행정구역(시군구)별","이동규모별",2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022
"행정구역(시군구)별","이동규모별",총전입 (건),총전출 (건),순이동 (건),총전입 (건),총전출 (건),순이동 (건),총전입 (건),총전출 (건),순이동 (건),총전입 (건),총전출 (건),순이동 (건),총전입 (건),총전출 (건),순이동 (건),총전입 (건),총전출 (건),순이동 (건),총전입 (건),총전출 (건),순이동 (건)
"계양구","계",24681,27290,-2609,23417,26829,-3412,21705,27039,-5334,21464,26432,-4968,23603,27405,-3802,27103,27590,-487,19313,22337,-3024
"서구","계",43709,42261,1448,42777,40946,1831,55326,45673,9653,48241,46022,2219,50339,52079,-1740,55297,49796,5501,62349,47281,15068
"강화군","계",5020,4720,300,5303,4672,631,5455,5116,339,5358,4991,367,5816,5708,108,6115,5467,648,5298,4746,552
"옹진군","계",3136,2664,472,2915,2684,231,2545,2823,-278,2646,2830,-184,2747,2681,66,2676,2639,37,2847,2386,461
"광주광역시","계",137762,143458,-5696,135696,142374,-6678,145539,150004,-4465,147871,151361,-3490,155111,160011,-4900,150298,154765,-4467,131466,138456,-6990
"동  구","계",10578,12366,-1788,10944,11534,-590,11902,12749,-847,14633,12935,1698,14798,12782,2016,13983,13437,546,13580,12210,1370
"서  구","계",32355,31215,1140,29134,30938,-1804,31243,32599,-1356,30702,32327,-1625,31665,33977,-2312,30678,33335,-2657,27538,29868,-2330
"남  구","계",19872,21570,-1698,19681,21272,-1591,20444,22136,-1692,22908,23046,-138,20548,23181,-2633,23188,23129,59,18093,19992,-1899
"북  구","계",39058,43054,-3996,40449,42971,-2522,45364,46010,-646,42459,45807,-3348,46590,48699,-2109,44406,45730,-1324,39792,41767,-1975
"광산구","계",35899,35253,646,35488,35659,-171,36586,36510,76,37169,37246,-77,41510,41372,138,38043,39134,-1091,32463,34619,-2156
"대전광역시","계",141970,146012,-4042,139671,145333,-5662,144358,150155,-5797,147608,155417,-7809,162369,167669,-5300,153401,157349,-3948,146037,147626,-1589
"동  구","계",20665,23358,-2693,20254,22269,-2015,23043,23631,-588,22740,23860,-1120,23961,25930,-1969,24336,23884,452,22352,22912,-560
"중  구","계",20756,22978,-2222,20857,22608,-1751,21764,23944,-2180,21894,23805,-1911,23280,25934,-2654,21462,23874,-2412,20567,22253,-1686
"서  구","계",48479,49163,-684,46954,48392,-1438,48522,49938,-1416,50952,53018,-2066,54879,56195,-1316,51591,53331,-1740,49045,50094,-1049
"유성구","계",38119,34073,4046,37782,34954,2828,37732,36566,1166,38868,38509,359,42724,41271,1453,40263,39922,341,40017,37087,2930
"대덕구","계",13951,16440,-2489,13824,17110,-3286,13297,16076,-2779,13154,16225,-3071,17525,18339,-814,15749,16338,-589,14056,15280,-1224
"울산광역시","계",94055,99032,-4977,86898,95085,-8187,84502,93944,-9442,92137,99987,-7850,93203,103078,-9875,91538,101150,-9612,78743,86279,-7536
"중구","계",17833,19844,-2011,17079,19994,-2915,14517,18913,-4396,15872,20478,-4606,16229,20397,-4168,16625,19505,-2880,13038,16114,-3076
"남구","계",29108,31427,-2319,26802,30036,-3234,26665,29942,-3277,27547,31751,-4204,32017,35179,-3162,29246,33277,-4031,26451,28554,-2103
"동구","계",17206,18403,-1197,12371,15798,-3427,11137,14509,-3372,10637,13691,-3054,11553,13615,-2062,11078,12878,-1800,9864,11344,-1480
"북구","계",14637,13538,1099,15016,13771,1245,15798,14329,1469,20556,16657,3899,16600,16734,-134,17086,18044,-958,13799,14489,-690
"울주군","계",15271,15820,-549,15630,15486,144,16385,16251,134,17525,17410,115,16804,17153,-349,17503,17446,57,15591,15778,-187
"세종특별자치시","계",37195,22224,14971,44343,28286,16057,48376,32603,15773,47867,35851,12016,47898,40724,7174,47960,40179,7781,41862,36799,5063
"세종특별자치시","계",37195,22224,14971,44343,28286,16057,48376,32603,15773,47867,35851,12016,47898,40724,7174,47960,40179,7781,41862,36799,5063
"경기도","계",1160389,1090468,69921,1139399,1079635,59764,1234024,1148358,85666,1224125,1148144,75981,1358883,1256953,101930,1336640,1242161,94479,1126047,1101871,24176
"수원시","계",109190,104260,4930,111590,106146,5444,120165,118995,1170,114932,117137,-2205,117042,119595,-2553,125529,122747,2782,115246,108914,6332
"성남시","계",101122,100310,812,95835,99130,-3295,88262,93253,-4991,83960,88868,-4908,98161,98432,-271,93186,96490,-3304,79028,82601,-3573
"의정부시","계",39265,38239,1026,39592,39272,320,40814,39005,1809,40740,38966,1774,48907,43822,5085,43360,41247,2113,39398,38754,644
"안양시","계",53166,55021,-1855,48916,54381,-5465,45674,51222,-5548,45327,50718,-5391,49036,58291,-9255,53276,54212,-936,43904,43380,524
"부천시","계",73810,75142,-1332,69311,71736,-2425,69901,74625,-4724,60181,67746,-7565,63427,69456,-6029,59124,65304,-6180,48764,57444,-8680
"광명시","계",24837,27671,-2834,25404,28293,-2889,27331,29857,-2526,24455,29554,-5099,27920,37245,-9325,24288,27148,-2860,20228,23010,-2782
"평택시","계",47674,42332,5342,49263,43215,6048,55301,47541,7760,59953,50681,9272,69000,54350,14650,79098,60274,18824,68887,58494,10393
"동두천시","계",9969,9872,97,8585,9080,-495,8541,8788,-247,8028,8684,-656,9073,8939,134,9677,9354,323,7386,7983,-597
"안산시","계",59190,64784,-5594,52697,59808,-7111,55714,64128,-8414,57999,63155,-5156,72245,70849,1396,63446,63862,-416,52000,57992,-5992
"고양시","계",92017,87301,4716,83761,84105,-344,87071,87480,-409,99634,90048,9586,104912,98609,6303,97858,96313,1545,87602,87878,-276
"과천시","계",5857,8118,-2261,4476,7679,-3203,5108,5043,65,4666,4588,78,7441,5756,1685,10664,6606,4058,8445,6752,1693
"구리시","계",18856,16692,2164,17562,15621,1941,18169,17250,919,15109,17001,-1892,18471,19320,-849,16185,18729,-2544,13119,14411,-1292
"남양주시","계",47576,45853,1723,44943,44814,129,53544,49355,4189,56258,48889,7369,56537,52284,4253,64195,54810,9385,49830,48260,1570
"오산시","계",18430,17363,1067,20218,17943,2275,23791,20122,3669,24696,20505,4191,24273,21526,2747,23002,21680,1322,19704,19292,412
"시흥시","계",34883,33993,890,40574,34430,6144,49295,37541,11754,51994,40735,11259,59308,46423,12885,50115,44483,5632,42266,41908,358
"군포시","계",21121,22733,-1612,19610,21395,-1785,21398,23190,-1792,22646,22681,-35,24078,24522,-444,21621,23428,-1807,18860,19428,-568
"하남시","계",38197,20661,17536,27772,19256,8516,34524,24240,10284,33828,24151,9677,40538,27500,13038,41602,30351,11251,27830,26177,1653
"의왕시","계",12271,12769,-498,11191,12239,-1048,10114,11576,-1462,15784,13582,2202,17305,16713,592,12970,13560,-590,9396,11342,-1946
"용인시","계",85864,79433,6431,82458,78826,3632,99156,86668,12488,97805,85954,11851,102310,95089,7221,99050,96182,2868,79507,80299,-792
"파주시","계",36452,33786,2666,36798,33618,3180,43104,37205,5899,36793,35880,913,45336,40319,5017,50852,40369,10483,44488,38234,6254
"이천시","계",20686,18389,2297,20062,18429,1633,20204,19149,1055,22061,20571,1490,23497,20933,2564,27110,22858,4252,21454,21078,376
"안성시","계",18582,17240,1342,15524,15213,311,18541,17651,890,17892,17608,284,20222,17274,2948,20898,18387,2511,17207,16969,238
"김포시","계",32905,28064,4841,42598,30955,11643,46438,33338,13100,38820,32422,6398,60095,43326,16769,45928,39316,6612,36215,36452,-237
"화성시","계",69594,49138,20456,75251,51337,23914,95289,63802,31487,97217,70089,27128,97870,74691,23179,98443,79757,18686,82120,68205,13915
"광주시","계",30932,25045,5887,32922,25608,7314,35066,27519,7547,32379,28726,3653,35161,30792,4369,36485,33620,2865,31720,30318,1402
"양주시","계",15765,16303,-538,19890,16831,3059,19799,17430,2369,20494,17931,2563,22881,19392,3489,21870,18751,3119,20679,17045,3634
"포천시","계",12086,12511,-425,12095,12950,-855,12704,13622,-918,11746,12752,-1006,12935,12755,180,14788,12711,2077,11286,11982,-696
"여주시","계",9533,9110,423,9544,9012,532,9128,9152,-24,9116,9291,-175,9763,9141,622,10111,9574,537,9840,9002,838
"양주군","계",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"화성군","계",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"파주군","계",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"광주군","계",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"연천군","계",4225,4039,186,3818,4029,-211,3753,4062,-309,3692,3863,-171,3899,3841,58,3819,3949,-130,3517,3492,25
"포천군","계",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"가평군","계",5457,5062,395,5408,4887,521,5547,5341,206,5212,5371,-159,5582,5353,229,5689,5363,326,5041,4671,370
"양평군","계",10877,9234,1643,11731,9397,2334,10578,10208,370,10708,9997,711,11658,10415,1243,12401,10726,1675,11080,10104,976
"이천군","계",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"용인군","계",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"안성군","계",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"김포군","계",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
