name,score,reviewNum,price,link
서귀포 아이섬풀빌라,5.0,7.0,,/pension/10048565
서귀포 뷰티풀리조트,4.6,10.0,80000.0,/pension/10044212
서귀포 고래의꿈펜션,4.9,125.0,90000.0,/pension/1000104629
제주 엔젤하우스펜션(애견동반),4.9,69.0,105000.0,/pension/1000109476
서귀포 상상나무키즈펜션,5.0,8.0,79000.0,/pension/10044115
제주 디오름스파펜션,5.0,8.0,230000.0,/pension/10043426
서귀포 해바라기펜션,5.0,5.0,70200.0,/pension/10044101
제주 레아펜션,5.0,37.0,130000.0,/pension/1000109019
제주 스테이다랑쉬펜션,5.0,4.0,85000.0,/pension/10048065
제주 판포레스트펜션,5.0,8.0,140000.0,/pension/10043264
제주 완이(e)-클라쓰펜션,5.0,22.0,77000.0,/pension/1000110350
제주 힐링리조트,4.9,22.0,64900.0,/pension/1000105470
제주 안녕대흘펜션,5.0,6.0,,/pension/10047983
제주 드문펜션,5.0,5.0,100000.0,/pension/10048053
제주 무아별장독채풀빌라펜션,4.8,6.0,,/pension/10051092
제주 아꼽다키즈펜션,5.0,8.0,250000.0,/pension/10041683
제주 채송화펜션,5.0,11.0,90000.0,/pension/1000113079
제주 트레비앙펜션,4.6,196.0,71000.0,/pension/1000103594
제주 탐나는팜펜션,5.0,8.0,119000.0,/pension/10039846
제주 썸스테이풀빌라,4.9,58.0,190000.0,/pension/1000105383
제주 머라이펜션,5.0,5.0,160000.0,/pension/10046840
제주 모퉁이돌집독채펜션,5.0,5.0,,/pension/10047554
제주 동복에머물다펜션,3.3,14.0,130000.0,/pension/10041756
제주 제주리조텔,4.0,24.0,39900.0,/pension/1000111221
제주 하도기록펜션(우도인근 감성숙소),5.0,5.0,280000.0,/pension/10043587
제주 더비치펜션,4.4,131.0,61200.0,/pension/1000104623
서귀포 마녀의언덕펜션(리뉴얼),5.0,36.0,125000.0,/pension/1000104912
제주 바닷가앞28평펜션,2.8,19.0,250000.0,/pension/10045424
서귀포 제이앤비가족호텔,4.7,27.0,70000.0,/pension/1000109319
제주 올레민박펜션,5.0,6.0,,/pension/10043247
제주 우도애기해녀펜션,5.0,23.0,100000.0,/pension/1000104647
서귀포 순즈플레이스펜션,4.8,5.0,200000.0,/pension/10048034
서귀포 풀스테이소랑제펜션,4.2,16.0,306000.0,/pension/1000112935
제주 하이커호텔펜션,3.5,10.0,30000.0,/pension/10048691
제주 하니크라운호텔펜션,4.3,6.0,46000.0,/pension/10046450
제주 아랑존펜션,5.0,18.0,50000.0,/pension/1000108243
서귀포 솔바람풍경소리독채펜션,5.0,4.0,73000.0,/pension/10051215
제주 까르마풀빌라,4.3,33.0,260000.0,/pension/1000109023
서귀포 갯그시펜션,4.8,5.0,50000.0,/pension/10046463
제주 우림호텔펜션,4.2,9.0,45000.0,/pension/10041517
"제주 동화키즈풀빌라(신축,45평 복층 독채)",4.0,10.0,390000.0,/pension/10041066
제주 디스빌라691스파펜션,4.9,113.0,126000.0,/pension/1000101486
서귀포 스테이리포소펜션,5.0,14.0,,/pension/1000109027
제주 카멜리아캐슬펜션,5.0,4.0,,/pension/10046432
"제주 하얀별펜션(★낭만뷰특가,구엄리염전)",4.4,182.0,40000.0,/pension/1000089896
서귀포 마루호스텔,4.5,5.0,,/pension/10047553
